Артикул,Наименование ,Бренд,ЧЗ,НДС,Цена с 01.01.2026,Цена с 01.02.2026,Цена с 01.03.2026,Цена с 01.04.2026,Цена с 01.05.2026,Цена с 01.06.2026,Цена с 01.07.2026,Цена с 01.08.2026,
GLV-NIT-MTX-BLU-50-XL,Голубые XL, Matrix,ЧЗ,10%,"180,0","180,0","180,0","224,0","248,0","248,0","240,0","240,0",
GLV-NIT-MTX-BLU-50-L,Голубые L, Matrix,ЧЗ,10%,"180,0","180,0","180,0","224,0","248,0","248,0","240,0","240,0",
GLV-NIT-MTX-BLU-50-M,Голубые M, Matrix,ЧЗ,10%,"180,0","180,0","180,0","224,0","248,0","248,0","240,0","240,0",
GLV-NIT-MTX-BLU-50-S,Голубые S, Matrix,ЧЗ,10%,"180,0","180,0","180,0","224,0","248,0","248,0","240,0","240,0",
GLV-NIT-MTX-BLU-50-XS,Голубые XS, Matrix,ЧЗ,10%,"180,0","180,0","180,0","224,0","248,0","248,0","240,0","240,0",
GLV-NIT-MTX-PUR-50-XL,Фиолетовые XL, Matrix,ЧЗ,10%,"195,0","195,0","195,0","234,0","258,0","258,0","250,0","250,0",
GLV-NIT-MTX-PUR-50-L,Фиолетовые L, Matrix,ЧЗ,10%,"195,0","195,0","195,0","234,0","258,0","258,0","250,0","250,0",
GLV-NIT-MTX-PUR-50-M,Фиолетовые M, Matrix,ЧЗ,10%,"195,0","195,0","195,0","234,0","258,0","258,0","250,0","250,0",
GLV-NIT-MTX-PUR-50-S,Фиолетовые S, Matrix,ЧЗ,10%,"195,0","195,0","195,0","234,0","258,0","258,0","250,0","250,0",
GLV-NIT-MTX-PUR-50-XS,Фиолетовые XS, Matrix,ЧЗ,10%,"195,0","195,0","195,0","234,0","258,0","258,0","250,0","250,0",
GLV-VIN-MTX-CLR-50-XL,Виниловые XL, Matrix,ЧЗ,10%,"110,0","110,0","110,0","133,0","155,0","155,0","150,0","150,0",
GLV-VIN-MTX-CLR-50-L,Виниловые L, Matrix,ЧЗ,10%,"110,0","110,0","110,0","133,0","155,0","155,0","150,0","150,0",
GLV-VIN-MTX-CLR-50-M,Виниловые M, Matrix,ЧЗ,10%,"110,0","110,0","110,0","133,0","155,0","155,0","150,0","150,0",
GLV-VIN-MTX-CLR-50-S,Виниловые S, Matrix,ЧЗ,10%,"110,0","110,0","110,0","133,0","155,0","155,0","150,0","150,0",
GLV-NIT-PRM-BLU-50-XL,Голубые XL,Primo,ЧЗ,10%,"180,0","180,0","180,0","224,0","248,0","248,0","240,0","240,0",
GLV-NIT-PRM-BLU-50-L,Голубые L,Primo,ЧЗ,10%,"180,0","180,0","180,0","224,0","248,0","248,0","240,0","240,0",
GLV-NIT-PRM-BLU-50-M,Голубые M,Primo,ЧЗ,10%,"180,0","180,0","180,0","224,0","248,0","248,0","240,0","240,0",
GLV-NIT-PRM-BLU-50-S,Голубые S,Primo,ЧЗ,10%,"180,0","180,0","180,0","224,0","248,0","248,0","240,0","240,0",
GLV-NIT-PRM-BLU-50-XS,Голубые XS,Primo,ЧЗ,10%,"180,0","180,0","180,0","224,0","248,0","248,0","240,0","240,0",
GLV-NIT-PRM-PUR-50-XL,Фиолетовые XL,Primo,ЧЗ,10%,"195,0","195,0","195,0","234,0","258,0","258,0","250,0","250,0",
GLV-NIT-PRM-PUR-50-L,Фиолетовые L,Primo,ЧЗ,10%,"195,0","195,0","195,0","234,0","258,0","258,0","250,0","250,0",
GLV-NIT-PRM-PUR-50-M,Фиолетовые M,Primo,ЧЗ,10%,"195,0","195,0","195,0","234,0","258,0","258,0","250,0","250,0",
GLV-NIT-PRM-PUR-50-S,Фиолетовые S,Primo,ЧЗ,10%,"195,0","195,0","195,0","234,0","258,0","258,0","250,0","250,0",
GLV-NIT-PRM-PUR-50-XS,Фиолетовые XS,Primo,ЧЗ,10%,"195,0","195,0","195,0","234,0","258,0","258,0","250,0","250,0",
GLV-NIT-PRM-BLK-50-XL,Черные XL,Primo,ЧЗ,22%,"210,0","210,0","210,0","271,0","302,5","302,5","290,0","270,0",
GLV-NIT-PRM-BLK-50-L,Черные L,Primo,ЧЗ,22%,"210,0","210,0","210,0","271,0","302,5","302,5","290,0","270,0",
GLV-NIT-PRM-BLK-50-M,Черные M,Primo,ЧЗ,22%,"210,0","210,0","210,0","271,0","302,5","302,5","290,0","270,0",
GLV-NIT-PRM-BLK-50-S,Черные S,Primo,ЧЗ,22%,"210,0","210,0","210,0","271,0","302,5","302,5","290,0","270,0",
GLV-NIT-PRM-BLK-50-XS,Черные XS,Primo,ЧЗ,22%,"210,0","210,0","210,0","271,0","302,5","302,5","290,0","270,0",
GLV-NIT-PRM-PNK-50-L,Розовые L,Primo,ЧЗ,22%,"220,0","220,0","220,0","278,0","310,0","310,0","300,0","280,0",
GLV-NIT-PRM-PNK-50-M,Розовые М,Primo,ЧЗ,22%,"220,0","220,0","220,0","278,0","310,0","310,0","300,0","280,0",
GLV-NIT-PRM-PNK-50-S,Розовые S,Primo,ЧЗ,22%,"220,0","220,0","220,0","278,0","310,0","310,0","300,0","280,0",
GLV-NIT-PRM-PNK-50-XS,Розовые XS,Primo,ЧЗ,22%,"220,0","220,0","220,0","278,0","310,0","310,0","300,0","280,0",
GLV-VIN-PRM-CLR-50-XL,Винил XL,Primo,без ЧЗ,22%,,,"110,0","125,0","140,0","140,0","140,0","140,0",
GLV-VIN-PRM-CLR-50-L,Винил L,Primo,без ЧЗ,22%,,,"110,0","125,0","140,0","140,0","140,0","140,0",
GLV-VIN-PRM-CLR-50-M,Винил М,Primo,без ЧЗ,22%,,,"110,0","125,0","140,0","140,0","140,0","140,0",
GLV-VIN-PRM-CLR-50-S,Винил S,Primo,без ЧЗ,22%,,,"110,0","125,0","140,0","140,0","140,0","140,0",
,,,,,,,,,,,,,
CAP-CHAR-WHT-100,"Шапочка Шарлотта Белая, 100 шт (3000)",ЭЛС,,10%,"74,0","74,0","74,0","74,0","74,0",,,,
CAP-CHAR-BLU-100,"Шапочка Шарлотта Голубая, 100 шт (3000)",ЭЛС,,10%,"74,0","74,0","74,0","74,0","74,0",,,,
CAP-CHAR-BLK-100,"Шапочка Шарлотта Черная, 100 шт (3000)",ЭЛС,,10%,"87,0","87,0","87,0","87,0","87,0","87,0","87,0","87,0",
CAP-CHAR-PUR-100,"Шапочка Шарлотта Фиолетовая, 100 шт (3000)",ЭЛС,,10%,"80,0","80,0","80,0","80,0","80,0","80,0","80,0","80,0",
CAP-CHAR-PNK-100,"Шапочка Шарлотта Розовая, 100 шт (3000)",ЭЛС,,10%,"80,0","80,0","80,0","80,0","80,0","80,0","80,0","80,0",
CAP-CHAR-WHT-500,"Шапочка Шарлотта Белая, 500 шт (4000)",ЭЛС,,10%,"385,0","385,0","385,0","385,0","385,0","385,0","385,0","385,0",
SHT-DISP-70X200-STD-BLK,Простынь 70*200 в рулоне белая,ЭЛС,,10%,"339,0","339,0","339,0","339,0","339,0","339,0","339,0","339,0",
SHT-DISP-70X200-STD-WHT,Простынь 70*200 в рулоне черн,ЭЛС,,10%,"359,0","359,0","359,0","359,0","359,0","339,0","339,0","339,0",
WL-STD-35X70,Салфетка 35х70 в сложении 50 шт (Полотенце),ЭЛС,,10%,"155,0","155,0","155,0","155,0","159,0","159,0","159,0","159,0",
